id,companyId,matricula,nomeCompleto,cpf,rg,orgaoEmissor,dataNascimento,sexo,estadoCivil,nacionalidade,naturalidade,nomeMae,nomePai,ctps,serieCTPS,pis,tituloEleitor,certificadoReservista,cnh,categoriaCNH,validadeCNH,logradouro,numero,complemento,bairro,cidade,estado,cep,telefone,celular,email,contatoEmergencia,telefoneEmergencia,parentescoEmergencia,cargo,funcao,setor,dataAdmissao,dataDemissao,salarioBase,valorHora,horasMensais,tipoContrato,jornadaTrabalho,banco,bancoNome,agencia,conta,tipoConta,tipoChavePix,chavePix,contaPix,bancoPix,status,fotoUrl,observacoes,createdAt,updatedAt,listaNegra,motivoListaNegra,dataListaNegra,codigoContabil,codigoInterno,recebeComplemento,valorComplemento,descricaoComplemento,acordoHoraExtra,heNormal50,heNoturna,he100,heFeriado,heInterjornada,obsAcordoHe,contaBancariaEmpresaId,listaNegraPor,listaNegraUserId,desligadoPor,desligadoUserId,dataDesligamentoEfetiva,motivoDesligamento,categoriaDesligamento,deletedAt,deletedBy,deletedByUserId,deleteReason,experienciaTipo,experienciaInicio,experienciaFim1,experienciaFim2,experienciaStatus,experienciaProrrogadoEm,experienciaProrrogadoPor,experienciaEfetivadoEm,experienciaEfetivadoPor,experienciaObs,vtTipo,vtValorDiario,vtOperadora,vtLinhas,vtDescontoFolha,pensaoAlimenticia,pensaoValor,pensaoTipo,pensaoPercentual,pensaoBeneficiario,pensaoBanco,pensaoAgencia,pensaoConta,pensaoObservacoes,licencaMaternidade,licencaTipo,licencaDataInicio,licencaDataFim,licencaObservacoes,seguroVida,contribuicaoSindical,fgtsPercentual,inssPercentual,dissidioData,dissidioPercentual,convencaoColetiva,convencaoVigencia,ddsParticipacao,docRgUrl,docCnhUrl,docCtpsUrl,docComprovanteResidenciaUrl,docCertidaoNascimentoUrl,docTituloEleitorUrl,docReservistaUrl,docOutrosUrl,vrBeneficio,vtRecebe,vtNumeroCartao,vaRecebe,vaValor,vaOperadora,vaNumeroCartao,auxFarmacia,auxFarmaciaValor,planoSaude,planoSaudeOperadora,planoSaudeValor,benefObs,obraAtualId
420054,60002,COL78224756653,MARCIO ELOY DOS SANTOS,782.247.566-53,24.560.207-0,SSP/SP,1966-01-30 00:00:00,M,Casado,Brasileiro ,Cruzeiro ,,WILSON TOMAZ DOS SANTOS,,,124.42363.49-8,,,,,,RUA JOAO MARIA GUIMARAES FELIPO,197,,Vila Mariana ,Aparecida ,SP,12570-000,,,,,,,,PEDREIRO,OBRA,2018-03-01 00:00:00,,"2.774,20","12,61",220,CLT,"{""seg"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""ter"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""qua"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""qui"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""sex"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""16:00""}}",Santander,,,,,,,,,Ativo,https://d2xsxph8kpxj0f.cloudfront.net/310419663028720190/W4MM458SKqYRWRGGQrfw8A/employee-photos/60002/420054-mmnwhpxbshbq.jpeg,,2026-02-23 04:05:55,2026-03-12 20:08:38,0,,,2,JFC002,0,,,1,60,20,100,100,50,,1,,,,,,,,,,,,,,,,em_experiencia,,,,,,,,,,,0,,,,,,,,,0,,,,,,,8,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
420055,60002,COL49194423865,PAULO VINICIUS SALES TEIXEIRA,491.944.238-65,62.128.726,SSP/SP,1999-05-12 00:00:00,M,,Brasileiro ,Guaratingueta ,ELAINE CRISTINA BAESSO SALES,PAULO CESAR CORREA TEIXEIRA,,,201.13938.57-2,,,,,,Rua Nove de Julho,1028,,Centro,Guaratinguetá,SP,12500-970,,,,,,,,ARMADOR,OBRA,2018-06-07 00:00:00,,"2.774,20","12,61",220,CLT,"{""seg"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""ter"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""qua"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""qui"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""sex"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""16:00""}}",Santander,,,,,,,,,Ativo,,,2026-02-23 04:05:55,2026-02-28 21:49:16,0,,,10,JFC003,0,,,1,60,20,100,100,50,,1,,,,,,,,,,,,,,,,em_experiencia,,,,,,,,,,,0,,,,,,,,,0,,,,,,,8,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
420056,60002,COL45846564879,ANDERSON DOS ANJOS ALKMIN JUNIOR,458.465.648-79,57.779.767-9,SSP/SP,2000-06-19 00:00:00,M,Solteiro,Brasileiro ,Piquete,Cristiane Ribeiro da Silva ,Anderson Dos Anjos Alkmin Junior ,,,134.11845.05-7,,,,,,Rua Cel Afonso De Carvalho,160,,Parque São Miguel ,Piquete ,SP,12620-000,,,,,,,,GUINCHEIRO (CONSTRUÇÃO CIVIL),OBRA,2018-07-16 00:00:00,,"2.607,00","11,85",220,CLT,"{""seg"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""ter"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""qua"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""qui"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""sex"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""16:00""}}",Caixa,,1208,000733675215-3,Salario,,,,,Ativo,https://d2xsxph8kpxj0f.cloudfront.net/310419663028720190/W4MM458SKqYRWRGGQrfw8A/employee-photos/60002/420056-mmnw9prrmp4h.jpeg,,2026-02-23 04:05:55,2026-03-13 20:19:32,0,,,11,JFC004,0,,,1,60,20,100,100,50,,3,,,,,,,,,,,,,,,,em_experiencia,,,,,,,,,,,0,,,,,,,,,0,,,,,,,8,,,,,,1,,,,,,,,,,,,ambos,"680,75",Ifood,,,,,,,,
420057,60002,COL32079023837,RODRIGO DA SILVA,320.790.238-37,46.895.460-0,SSP/SP,1984-07-16 00:00:00,M,Casado,Brasileiro ,Aparecida ,ELENICE DE PAULA LUIZ,BENEDITO APARECIDO DA SILVA,,,135.43643.89-3,,,,,,RUA ARISTEU VIEIRA VILELA,179,,CENTRO ,POTIM,SP,,,,,,,,,SERVENTE,OBRA,2018-08-01 00:00:00,,"2.189,00","9,95",220,CLT,"{""seg"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""ter"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""qua"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""qui"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""sex"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""16:00""}}",Santander,,,,,,,,,Ativo,https://d2xsxph8kpxj0f.cloudfront.net/310419663028720190/W4MM458SKqYRWRGGQrfw8A/employee-photos/60002/420057-mmnwpi92c236.jpeg,,2026-02-23 04:05:55,2026-03-12 20:14:41,0,,,12,JFC005,0,,,1,60,20,100,100,50,,1,,,,,,,,,,,,,,,,em_experiencia,,,,,,,,,,,0,,,,,,,,,0,,,,,,,8,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
420058,60002,COL27944849829,ODAIR JOSE PEREIRA,279.448.498-29,29.366.412-2,SSP/SP,1978-11-23 00:00:00,M,Solteiro,Brasileiro ,Aparecida ,MARIA DE FATIMA DIAS PEREIRA,ADJAIR DE CAMARGO PEREIRA,,,182.21521.33-2,,,,,,Rua Itaici ,392,,Itaguacu,Aparecida ,SP,12570-000,,,,,,,,CARPINTEIRO,OBRA,2019-02-11 00:00:00,,"2.774,20","12,61",220,CLT,"{""seg"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""ter"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""qua"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""qui"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""sex"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""16:00""}}",Santander,,,,,,,,,Ativo,,,2026-02-23 04:05:55,2026-02-28 20:47:46,0,,,19,JFC006,0,,,1,60,20,100,100,50,,1,,,,,,,,,,,,,,,,em_experiencia,,,,,,,,,,,0,,,,,,,,,0,,,,,,,8,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
420059,60002,COL39900476808,ELIAS VIEIRA DO NASCIMENTO,399.004.768-08,,,1977-06-23 00:00:00,M,Solteiro,Brasileiro ,Pindamonhangaba,RAVINA DE MELO NASCIMENTO,ARNALCIO VIEIRA DO NASCIMENTO,,,129.63965.25-9,,,,,,Rua Doutor Irbis Ferreira Vieira,180,,Pedro Leme,Roseira,SP,12580-512,,,,,,,,SERVENTE,OBRA,2019-03-25 00:00:00,,"2.189,00","9,95",220,CLT,"{""seg"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""ter"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""qua"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""qui"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""sex"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""16:00""}}",Caixa,,1208,0007194576547,Salario,,,,,Ferias,,,2026-02-23 04:05:55,2026-03-10 13:04:18,0,,,23,JFC007,0,,,1,60,20,100,100,50,,3,,,,,,,,,,,,,,,,em_experiencia,,,,,,,,,,,0,,,,,,,,,0,,,,,,,8,,,,,,1,,,,,,,,,,,,ambos,"680,75",Ifood,,,,,,,,
420060,60002,COL31544930852,ANDREI DA SILVA,315.449.308-52,41.174.280-2,SSP/SP,1982-07-22 00:00:00,M,Solteiro,Brasileiro ,Guaratinguetá ,Paulina Palandi Da Silva ,Afonso Da Silva ,,,190.09038.10-9,,,,,,Rua Dois ,28,Zona Rural ,Retiro ,Guaratinguetá,SP,00000-000,,,,,,,,SERVENTE,OBRA,2020-03-12 00:00:00,,"2.189,00","9,95",220,CLT,"{""seg"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""ter"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""qua"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""qui"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""sex"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""16:00""}}",Caixa,,1208,0009837900160,Salario,,,,,Ativo,,,2026-02-23 04:05:55,2026-02-28 21:34:03,0,,,32,JFC008,0,,,1,60,20,100,100,50,,3,,,,,,,,,,,,,,,,em_experiencia,,,,,,,,,,,0,,,,,,,,,0,,,,,,,8,,,,,,1,,,,,,,,,,,,ambos,"680,75",Ifood,,,,,,,,
420061,60002,COL01270654152,FRANCISCO EUDICE CARVALHO BIZERRA,012.706.541-52,03.597.882-27,SSP/SP,1986-03-14 00:00:00,M,Solteiro,Brasileiro ,Augustinópolis,JOSELIA CARVALHO BIZERRA,ANTONIO DA SILVA BIZERRA,,,161.97582.19-9,,,,,,RUA JOSE CARLOS EVILASIO,1,,Itaguaçu,Aparecida ,SP,12570-000,,,,,,,,SERVENTE,OBRA,2020-03-12 00:00:00,,"2.189,00","9,95",220,CLT,"{""seg"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""ter"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""qua"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""qui"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""sex"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""16:00""}}",Caixa,,1208,0009837809596,Salario,,,,,Ativo,,,2026-02-23 04:05:55,2026-02-28 21:38:02,0,,,33,JFC009,0,,,1,60,20,100,100,50,,3,,,,,,,,,,,,,,,,em_experiencia,,,,,,,,,,,0,,,,,,,,,0,,,,,,,8,,,,,,1,,,,,,,,,,,,ambos,"680,75",Ifood,,,,,,,,
420062,60002,COL42120947899,WILLIAN GUSTAVO FARIA DA SILVA,421.209.478-99,,,1994-08-03 00:00:00,M,Solteiro,Brasileiro ,Guaratingueta ,MARIA ALICE FARIA,ROBERSON GOMES DA SILVA,,,165.33551.44-3,,,,,,RUA TEREZA MARIA FERRERA,230,,SAO FRANCISCO ,APARECIDA ,SP,,,,,,,,,SERVENTE,OBRA,2020-03-12 00:00:00,,"2.189,00","9,95",220,CLT,"{""seg"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""ter"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""qua"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""qui"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""sex"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""16:00""}}",Caixa,,1208,0009837898670,Salario,,,,,Ativo,,,2026-02-23 04:05:55,2026-03-11 02:44:52,0,,,34,JFC010,0,,,1,60,20,100,100,50,,3,,,,,,,,,,,,,,,,em_experiencia,,,,,,,,,,,0,,,,,,,,,0,,,,,,,8,,,,,,1,,,,,,,,,,,,ambos,"680,75",IFOOD,,,,,,,,
420063,60002,COL08101650822,MAURICIO BENEDITO ELESBAO,081.016.508-22,23.344.846,SSP/SP,1968-07-11 00:00:00,M,Solteiro,Brasileiro ,Aparecida ,MAGALI DA SILVA,BENEDITO RAIMUNDO ELESBAO,,,126.28929.25-4,,,,,,Rua Benedito Lino,91,,Centro ,Potim,SP,12525-000,,,,,,,,SERVENTE,OBRA,2020-04-23 00:00:00,,"2.189,00","9,95",220,CLT,"{""seg"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""ter"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""qua"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""qui"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""17:00""},""sex"":{""entrada"":""07:00"",""intervalo"":""01:00"",""saida"":""16:00""}}",Santander,,,,,,,,,Ativo,,,2026-02-23 04:05:55,2026-02-28 21:46:04,0,,,40,JFC011,0,,,0,60,20,100,100,50,,1,,,,,,,,,,,,,,,,em_experiencia,,,,,,,,,,,0,,,,,,,,,0,,,,,,,8,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
